P6 PROJECT ID        | PROJECT NAME (P6)                                  | PROJECT ENTITY (MAPPING)
--------------------------------------------------------------------------------------------------------------
AGE25CL              | AGE25CL                                            | Wind - AGE25CL PSS-11 (36 Loc.) & PSS-14 (13 Loc.)
AGE25CL (PH-4)       | AGE25CL (PH-4)                                     | Wind - AGE25CL PSS-18 (49 Loc.) - Phase-4
AGE26AL              | AGE26AL                                            | Wind - AGE26AL PSS-12 (27 Loc.) & PSS-14 (60 Loc.)
AHEJ5L               | AHEJ5L                                             | Wind - AHEJ5L PSS-05 (39 Loc.)
ARE3L                | ARE3L                                              | Wind - ARE3L PSS-08 (05 Loc.)
ASEJ6PL              | ASEJ6PL                                            | Wind - ASEJ6PL PSS-08 (12 Loc.)
Demo DPR Wind        | Demo DPR Wind                                      | Wind - Digital DPR - Demo AGE26AL PSS-12 (27 Loc.) & PSS-14 (60 Loc.)
FY25-BAIYA_600MW     | ASEB1PL_BAIYA_FT_600MW_PPA                         | NHPC BOO
FY25-BANDHA_500MW    | AGE25BL_BANDHA_FT_500MW_PPA                        | MLP T1
FY25-P01             | ARE3L_A06_HSAT_25 MW_MERCHANT_Commissioned         | AGEL Merchant
FY25-P02             | ASEJ6PL_A06_HSAT_35MW_MERCHANT_Commissioned        | AGEL Merchant
FY25-P03             | ARE48L_S08_HSAT_100MW_MERCHANT_Commissioned        | AGEL Merchant
FY25-P04             | AHEJ5L_A15a_HSAT_150MW_MERCHANT_Commissioned       | AGEL Merchant
FY25-P05             | AGE26BL_S05_HSAT_292MW_MERCHANT_HYBRID_Commissioned | AGEL Hybrid Merchant
FY25-P06             | AGE24L_S05_HSAT_150MW_MERCHANT                     | AGEL Merchant
FY25-P07             | AGE24L_A14_HSAT_150MW_MERCHANT_Commissioned        | AGEL Merchant
FY25-P08             | ACL_A1_FT_125 MW_GROUP_Commissioned                | ACL
FY25-P09             | AGE25CL_A06_HSAT_75 MW_PPA_Commissioned            | MLP T3 AP
FY25-P10             | AGE26AL_A16_FT_50MW_PPA_Commissioned               | MLP T1 J&K
FY25-P11             | AGE26AL_A16_FT_200MW_PPA                           | MLP T1 CG
FY25-P12             | AGE26AL_A16c_FT_167MW_PPA                          | MLP T1 TN
